Date,ATVI,CBS,CTL,CHTR,CMCSA,DISCA,DISCK,DISH,EA,FB,FOXA,FOX,DIS
2016-11-14,37.04999542236328,56.99814987182617,18.60015869140625,263.1400146484375,31.930419921875,28.35000038146973,27.31999969482422,53.97000122070313,76.37999725341797,115.08000183105469,26.93179702758789,26.737119674682614,94.19025421142578
2016-11-15,37.795509338378906,57.337074279785156,18.91385841369629,260.20001220703125,31.797496795654297,27.79999923706055,26.709999084472656,54.79999923706055,77.62000274658203,117.1999969482422,26.86329460144043,26.80560111999512,93.97863006591795
2016-11-16,38.22711944580078,57.50170135498047,18.76083374023437,261.989990234375,32.030113220214844,27.6299991607666,26.65999984741211,54.70000076293945,78.83000183105469,116.33999633789062,26.95137023925781,26.89364814758301,95.34455108642578
2016-11-17,39.17863082885742,58.16987609863281,18.56190490722656,265.48001098632807,32.514339447021484,28.03000068664551,27.09000015258789,55.65999984741211,79.62000274658203,117.79000091552734,27.3232479095459,27.206707000732425,95.58502960205078
2016-11-18,37.65817642211914,58.10208511352539,18.967416763305664,262.70001220703125,32.44312286376953,27.5,26.75,55.849998474121094,78.98999786376953,117.0199966430664,27.225383758544922,27.089311599731445,94.49806213378906
2016-11-21,37.69741439819336,58.3829116821289,19.541261672973636,264.10000610351557,32.376663208007805,27.54999923706055,26.709999084472656,56.16999816894531,78.26000213623047,121.7699966430664,27.205812454223636,27.128440856933594,93.91130065917969
2016-11-22,36.46143341064453,59.0026741027832,19.31172180175781,273.01998901367193,32.765941619873054,27.459999084472656,26.60000038146973,56.06999969482422,77.75,121.47000122070312,27.66576766967773,27.5295467376709,93.98825073242188
2016-11-23,36.549713134765625,58.11177062988281,19.07716941833496,272.3099975585937,32.73746490478516,27.35000038146973,26.5,55.68999862670898,79.3499984741211,120.83999633789062,27.79298591613769,27.6665096282959,94.5173110961914
2016-11-25,36.51048278808594,58.99299621582031,19.280447006225586,275.5,32.83240509033203,27.540000915527344,26.770000457763672,55.93000030517578,79.16999816894531,120.37999725341795,27.75384330749512,27.646942138671875,95.05596923828124
2016-11-28,36.65761947631836,58.57659530639648,19.26481056213379,270.82000732421875,32.428882598876946,27.21999931335449,26.57999992370605,56.1500015258789,78.7300033569336,120.41000366210938,27.704912185668945,27.57846260070801,95.20025634765624
2016-11-29,37.22656631469727,59.0704574584961,18.92861557006836,280.489990234375,33.297645568847656,27.649999618530273,27.1200008392334,57.68999862670898,81.37000274658203,120.87000274658205,27.86149024963379,27.74477386474609,95.87358856201172
