Date,AMG,AFL,ALL,AXP,AIG,AMP,AON,AJG,AIZ,BAC,BK,BBT,BLK,COF,CBOE,CB,CINF,C,CFG,CME,CMA,DFS,ETFC,FITB,FRC,BEN
2016-08-02,138.83103942871094,32.303916931152344,64.71951293945311,60.79457092285156,50.74492645263672,85.92048645019531,104.93060302734376,45.36083221435547,78.16031646728516,13.476751327514648,36.80665969848633,33.56315231323242,342.89984130859375,62.27470779418945,66.31308746337889,117.98773956298828,69.04022979736328,40.76794052124024,20.67305564880371,92.33531951904295,41.75433349609375,52.75863647460938,24.374059677124023,17.33271598815918,58.49552917480469,32.80330276489258
2016-08-03,141.3905029296875,32.46178436279297,65.213623046875,61.13938903808594,54.45660018920898,87.59268188476562,106.18887329101562,45.37936401367188,78.9298095703125,13.81057071685791,37.20508575439453,34.26430511474609,343.9086608886719,62.5095329284668,66.57440185546875,118.4029541015625,69.19694519042969,41.62141036987305,21.057449340820312,92.31745147705078,42.44707489013672,53.51871109008789,24.84126281738281,17.687206268310547,58.70922470092773,33.33646774291992
2016-08-04,140.00247192382812,32.45726776123047,65.20411682128906,61.2447509765625,53.9973258972168,87.48094177246094,106.42118072509766,45.2867546081543,78.53569030761719,13.81057071685791,36.93946838378906,34.107471466064446,342.12451171875,62.5567855834961,66.50666809082031,118.3840789794922,69.20616149902344,41.57400131225586,21.19808387756348,92.39791107177734,42.54197311401367,53.68973159790039,24.95060920715332,17.603246688842773,58.676353454589844,33.093273162841804
2016-08-05,143.99916076660156,32.95792770385742,65.41316986083984,62.75814437866211,55.39388656616211,89.883544921875,107.09870910644531,45.65719604492188,79.58670806884766,14.354219436645508,38.41931533813477,35.11307907104492,350.0645751953125,64.35221099853516,66.51633453369139,119.8467788696289,70.01741790771484,43.35682678222656,21.929378509521484,93.46170806884766,43.87051773071289,54.90584945678711,25.77566909790039,18.256258010864254,60.4434700012207,34.07540512084961
2016-08-08,142.56195068359375,32.96243667602539,65.72674560546875,63.05507278442383,55.66570281982422,90.1536102294922,106.8857650756836,45.75905990600586,79.53978729248047,14.430520057678224,38.50470352172852,35.05772018432617,347.2061767578125,64.41836547851561,66.38084411621094,119.93170166015624,70.07273101806639,43.58442687988281,21.98563003540039,93.13093566894531,43.67123794555664,55.06736755371094,25.795549392700195,18.097665786743164,60.28730392456055,34.07540512084961
2016-08-09,141.7842559814453,32.97597503662109,65.91677856445311,62.63363265991211,55.55323028564453,89.64141845703125,106.70186614990234,45.91651153564453,79.55854034423828,14.48774528503418,38.21062088012695,35.05772018432617,344.366455078125,64.04981994628906,66.10018157958984,119.67689514160156,70.01741790771484,43.52752304077149,22.023128509521484,92.76441192626952,43.72817611694336,55.01985931396485,25.63650131225586,18.097665786743164,60.1968994140625,33.44870376586914
2016-08-10,141.2329864501953,33.00303268432617,65.96430206298828,62.01102828979492,55.30016326904297,89.1385498046875,106.2469711303711,46.055419921875,79.55854034423828,14.125316619873047,37.79323196411133,34.527671813964844,342.302001953125,63.17100524902344,66.09049987792969,119.11072540283205,70.06352996826172,43.10078811645508,21.798118591308594,92.7375946044922,43.01645278930664,54.57331466674805,25.288583755493164,17.808481216430664,59.2599105834961,33.26163864135742
2016-08-11,141.5677032470703,32.95792770385742,65.66972351074219,62.71983337402344,55.46887588500977,89.5203628540039,106.37278747558594,46.07394027709961,79.9902114868164,14.192078590393065,37.98295593261719,34.58346176147461,343.1894226074219,64.20101928710939,64.96787261962889,119.45986938476562,70.10041046142578,43.366310119628906,21.93874931335449,92.36213684082031,43.19676208496094,55.15288162231445,25.37804985046387,17.948410034179688,59.57225036621094,33.3458251953125
2016-08-12,140.89830017089844,32.78653335571289,65.68873596191406,62.62404251098633,55.15956115722656,89.02680206298828,106.09209442138672,45.73128128051758,79.94329833984375,14.220691680908205,37.688873291015625,34.41608428955078,342.451416015625,64.25772094726561,64.93881988525389,119.2145004272461,69.879150390625,43.224063873291016,21.816871643066406,92.8001708984375,42.88359832763672,55.26688003540039,25.06989288330078,17.827136993408203,59.21882247924805,33.233577728271484
2016-08-15,141.6365966796875,32.782020568847656,65.93578338623047,62.863502502441406,55.50636291503906,90.1908721923828,106.03402709960938,45.65719604492188,80.50634002685547,14.325606346130373,38.09679412841797,34.899627685546875,346.3187561035156,64.83415985107422,65.94532775878906,119.23338317871094,70.02665710449219,43.99219512939453,22.070011138916016,93.78352355957031,43.74715042114258,55.30488967895508,25.31840515136719,18.144311904907227,60.18045425415039,33.6451416015625
2016-08-16,139.05744934082028,32.565513610839844,65.5177001953125,62.54743957519531,55.59071731567383,89.90216827392578,105.66619873046876,45.16636276245117,79.94329833984375,14.468670845031738,37.935523986816406,34.871734619140625,342.8905334472656,64.84361267089844,65.05496215820311,118.96916961669922,69.44586181640625,44.210304260253906,21.929378509521484,92.95216369628906,43.16828918457031,55.10537338256836,25.238880157470703,18.10699844360352,60.13114929199219,33.71996307373047
2016-08-17,139.58905029296878,32.777511596679695,65.67922973632811,62.911399841308594,55.32827758789063,90.5354232788086,105.95658111572266,45.0089111328125,80.51573944091797,14.449594497680664,38.14421081542969,35.02981948852539,345.7209167480469,64.53176116943361,66.0421142578125,118.98802185058594,69.53804016113281,44.21978378295898,21.97625541687012,94.58806610107422,43.33910369873047,55.18137741088867,25.079833984375,18.209611892700195,60.24621963500977,33.90704727172852
