Date,AES,AEE,AEP,AWK,ATO,CNP,CMS,ED,D,DTE,DUK,EIX,ETR,EVRG,ES,EXC,FE
2017-07-10,9.99672031402588,51.245994567871094,64.76777648925781,75.15412902832031,80.24134826660156,25.46523475646973,42.964263916015625,75.50740051269531,69.91379547119139,97.5908660888672,77.07115936279297,71.13629150390625,69.75248718261719,,56.66160583496094,33.761852264404304,27.22336196899414
2017-07-11,9.987584114074707,51.113014221191406,64.72075653076172,75.03831481933594,79.32698822021484,25.36251449584961,42.94540786743164,75.54498291015625,70.31144714355469,97.35836029052734,77.06187438964844,71.2386703491211,69.632080078125,,56.57648849487305,33.724082946777344,27.195499420166016
2017-07-12,10.142927169799805,51.67343521118164,64.86179351806639,75.78144836425781,80.60709381103516,25.661334991455078,43.38834762573242,76.20262145996094,70.82007598876953,98.20469665527344,77.80304718017578,71.27587127685547,70.10445404052734,,56.76564407348633,34.054527282714844,27.613460540771484
2017-07-13,10.06982421875,51.37897491455078,64.19427490234375,75.04796600341797,80.10660552978516,25.54927635192871,43.06792831420898,75.4698257446289,70.38542175292969,97.55364990234376,77.2379150390625,72.15066528320312,69.52092742919922,,56.65215301513672,33.724082946777344,27.54844665527344
2017-07-14,10.078962326049805,51.70193099975586,64.09085083007811,75.89727020263672,80.64557647705078,25.792070388793945,43.25641632080078,75.84561157226562,70.79234313964844,98.01868438720705,77.67333221435547,72.07621765136719,69.91921234130861,,56.95479965209961,34.04508590698242,28.05000305175781
2017-07-17,10.161200523376463,52.138877868652344,64.4481201171875,76.55355834960938,80.84770965576172,25.93214225769043,43.35065078735352,76.20262145996094,70.85707092285156,98.66043090820312,77.849365234375,72.43915557861328,70.03035736083984,,57.04937744140625,34.960887908935554,28.0871524810791
2017-07-18,10.270853042602539,52.58531951904297,64.26950073242189,76.89134216308594,80.9247055053711,25.94148254394531,43.44488525390625,76.29655456542969,71.07901763916016,98.35350799560548,77.9975814819336,72.45777130126953,70.05813598632811,,57.16287231445313,35.0836181640625,28.28220367431641
2017-07-19,10.343957901000977,52.87028884887695,64.54213714599611,77.22914123535156,81.41555786132812,25.80140686035156,43.57682800292969,76.80390167236328,71.19000244140625,98.5302276611328,78.14582824707031,72.65320587158203,70.2989501953125,,57.3803939819336,35.3007698059082,28.63514709472656
2017-07-20,10.38964557647705,53.32622528076172,64.58914184570311,78.17497253417969,82.3202896118164,26.193613052368164,43.90667343139648,77.4239730834961,71.16224670410156,99.30216979980469,78.68315124511719,73.0068359375,70.82688903808594,,57.89111709594727,35.4990348815918,29.00667381286621
2017-07-21,10.43533420562744,53.696678161621094,65.79255676269531,79.0628662109375,82.98438262939453,26.28698921203613,44.05745315551758,77.91250610351562,71.73561096191406,100.3903350830078,78.93329620361328,73.50006103515625,71.48450469970703,,58.2032356262207,35.38573837280273,29.480365753173828
